"STATION","NAME","DATE","AWND","CDSD","DP01","DP10","DSND","DSNW","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2018","5.6","1187","        47","        34",,,"         0","       222","        75","29",,,"2.55","104","2419","18.44",,"61.7","75.1","48.4"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2019","6.0","1339","        69","        46",,,"         0","       214","        68","29",,,"2.11","105","2363","24.89",,"62.2","74.6","49.7"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2020","5.6","1776","        35","        19",,,"         0","       227","       113","31",,,"0.91","112","2184","6.83",,"63.7","77.6","49.7"
"US1CASA0030","LA RIVIERA 1.0 NE, CA US","2011",,,"        67","        41",,,,,,,,,"1.23",,,"20.39",,,,
"US1CASA0030","LA RIVIERA 1.0 NE, CA US","2012",,,"        61","        43",,,,,,,,,"1.53",,,"25.90",,,,
"US1CASA0030","LA RIVIERA 1.0 NE, CA US","2013",,,"        32","        16",,,,,,,,,"0.95",,,"6.42",,,,
"US1CASA0030","LA RIVIERA 1.0 NE, CA US","2014",,,"        64","        37",,,,,,,,,"2.87",,,"21.68",,,,
"US1CASA0030","LA RIVIERA 1.0 NE, CA US","2015",,,"        39","        19",,,,,,,,,"1.23",,,"9.01",,,,
"US1CASA0030","LA RIVIERA 1.0 NE, CA US","2016",,,"        73","        46",,,,,,,,,"2.28",,,"25.06",,,,
"US1CASA0030","LA RIVIERA 1.0 NE, CA US","2017",,,"        70","        51",,,,,,,,,"2.03",,,"29.45",,,,
"US1CASA0030","LA RIVIERA 1.0 NE, CA US","2018",,,"        47","        36",,,,,,,,,"3.61",,,"20.28",,,,
"US1CASA0030","LA RIVIERA 1.0 NE, CA US","2019",,,"        71","        48",,,,,,,,,"1.81",,,"26.52",,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","2011",,,"        64","        39",,,,,,,,,"1.22",,,"20.31",,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","2012",,,"        68","        43",,,,,,,,,"1.60",,,"28.42",,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","2014",,,"        69","        41",,,,,,,,,"3.16",,,"23.16",,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","2015",,,"        41","        20",,,,,,,,,"1.44",,,"10.28",,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","2016",,,"        74","        44",,,,,,,,,"2.05",,,"26.19",,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","2017",,,"        69","        53",,,,,,,,,"2.01",,,"31.99",,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","2018",,,"        52","        40",,,,,,,,,"3.68",,,"23.12",,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","2019",,,"        82","        53",,,,,,,,,"2.26",,,"30.30",,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","2020",,,"        37","        21",,,,,,,,,"1.55",,,"10.42",,,,
"US1CASA0012","SACRAMENTO 2.0 SE, CA US","2009",,,"        53","        35",,,,,,,,,"2.93",,,"21.17",,,,
"US1CASA0012","SACRAMENTO 2.0 SE, CA US","2011",,,"        53","        36",,,,,,,,,"1.67",,,"20.10",,,,
"US1CASA0012","SACRAMENTO 2.0 SE, CA US","2012",,,"        58","        41",,,,,,,,,"1.48",,,"26.36",,,,
"US1CASA0012","SACRAMENTO 2.0 SE, CA US","2013",,,"        26","        16",,,,,,,,,"0.94",,,"7.81",,,,
"US1CASA0012","SACRAMENTO 2.0 SE, CA US","2014",,,"        56","        39",,,,,,,,,"3.28",,,"22.94",,,,
"US1CASA0012","SACRAMENTO 2.0 SE, CA US","2015",,,"        36","        22",,,,,,,,,"1.61",,,"9.54",,,,
"US1CASA0012","SACRAMENTO 2.0 SE, CA US","2017",,,,,,,,,,,,,,,,"29.10",,,,
"US1CASA0012","SACRAMENTO 2.0 SE, CA US","2018",,,"        45","        32",,,,,,,,,"3.52",,,"21.00",,,,
"US1CASA0012","SACRAMENTO 2.0 SE, CA US","2019",,,"        70","        48",,,,,,,,,"2.53",,,"28.28",,,,
"US1CASA0012","SACRAMENTO 2.0 SE, CA US","2020",,,"        33","        19",,,,,,,,,"1.22",,,"8.55",,,,
"US1CASA0045","FAIR OAKS 3.0 WNW, CA US","2016",,,"        82","        51",,,,,,,,,"1.85",,,"26.84",,,,
"US1CASA0045","FAIR OAKS 3.0 WNW, CA US","2020",,,"        24","        14",,,,,,,,,"0.98",,,"8.17",,,,
"USW00023271","SACRAMENTO 5 ESE, CA US","1970",,"1490","        69","        46",,,"         0","       214","        94","30",,,"2.20","107","1959","22.84",,"63.4","75.4","51.5"
"USW00023271","SACRAMENTO 5 ESE, CA US","1971",,"1382","        58","        28",,,"         0","       190","        79","30",,,"0.96","108","2390","11.30",,"61.4","73.2","49.6"
"USW00023271","SACRAMENTO 5 ESE, CA US","1972",,"1418","        64","        35",,,"         1","       212","        78","24",,,"1.07","113","2557","14.39",,"61.9","73.2","50.5"
"USW00023271","SACRAMENTO 5 ESE, CA US","1973",,"1389","        82","        50",,,"         0","       200","        69","30",,,"2.11","106","2495","28.90",,"62.5","73.6","51.4"
"USW00023271","SACRAMENTO 5 ESE, CA US","1974",,"1721","        58","        40",,,"         0","       205","       103","32",,,"0.96","106","2373","17.52",,"63.5","75.2","51.7"
"USW00023271","SACRAMENTO 5 ESE, CA US","1975",,"1436","        73","        33",,,"         0","       195","        80","31",,,"1.22","109","2380","15.36",,"62.2","73.7","50.7"
"USW00023271","SACRAMENTO 5 ESE, CA US","1976",,"1779","        32","        17",,,"         0","       245","        81","34",,,"0.61","108","2033","6.69",,"65.0","77.4","52.7"
"USW00023271","SACRAMENTO 5 ESE, CA US","1977",,"1287","        51","        25",,,"         0","       212","        66","32",,,"1.58","109","2105","11.40",,"62.2","74.0","50.4"
"USW00023271","SACRAMENTO 5 ESE, CA US","1978",,"1395","        60","        43",,,"         0","       212","        73","30",,,"1.68","108","2039","23.60",,"62.5","73.7","51.3"
"USW00023271","SACRAMENTO 5 ESE, CA US","1979",,"1596","        64","        44",,,"         0","       211","        84","29",,,"1.68","106","2497","22.34",,"63.3","74.9","51.7"
"USW00023271","SACRAMENTO 5 ESE, CA US","1980",,"1247","        54","        36",,,"         0","       212","        64","31",,,"1.29","108","2042","20.02",,"62.8","74.6","51.0"
"USW00023271","SACRAMENTO 5 ESE, CA US","1981",,"1700","        70","        39",,,"         0","       225","        91","38",,,"2.25","107","1907","24.59",,"64.7","76.4","53.0"
"USW00023271","SACRAMENTO 5 ESE, CA US","1982",,"1224","        80","        52",,,"         0","       204","        57","32",,,"3.10","103","2113","32.22",,"61.7","72.5","50.9"
"USW00023271","SACRAMENTO 5 ESE, CA US","1983",,"1568","        98","        69",,,"         0","       203","        73","35",,,"2.21","106","2286","37.65",,"63.6","74.1","53.1"
"USW00023271","SACRAMENTO 5 ESE, CA US","1984",,"1823","        58","        33",,,"         0","       223","       110","31",,,"1.19","110","1951","13.01",,"63.8","76.4","51.1"
"USW00023271","SACRAMENTO 5 ESE, CA US","1985",,"1476","        51","        30",,,"         0","       232","        83","28",,,"2.27","108","2539","15.23",,"61.7","74.3","49.0"
"USW00023271","SACRAMENTO 5 ESE, CA US","1986",,"1390","        59","        37",,,"         0","       242","        86","32",,,"3.21","106","2168","23.16",,"63.7","76.2","51.2"
"USW00023271","SACRAMENTO 5 ESE, CA US","1987",,"1619","        58","        37",,,"         0","       221","        91","27",,,"1.79","110","2318","18.43",,"63.0","75.8","50.2"
"USW00023271","SACRAMENTO 5 ESE, CA US","1988",,"1780","        50","        29",,,"         0","       229","       104","29",,,"1.02","112","2341","12.74",,"63.6","76.9","50.3"
"USW00023271","SACRAMENTO 5 ESE, CA US","1989",,"1391","        54","        35",,,"         0","       223","        75","23",,,"1.75","110","2347","15.76",,"62.1","74.7","49.5"
"USW00023271","SACRAMENTO 5 ESE, CA US","1990",,"1734","        42","        30",,,"         0","       243","        89","18",,,"2.53","111","2204","15.67",,"63.6","76.5","50.7"
"USW00023271","SACRAMENTO 5 ESE, CA US","1991",,"1582","        46","        31",,,"         0","       215","        89","28",,,"1.54","111","2261","15.89",,"63.5","75.9","51.0"
"USW00023271","SACRAMENTO 5 ESE, CA US","1992",,"1876","        64","        40",,"         0","         0","       239","       104","31",,"0.0","1.34","107","1908","20.93","0.0","64.7","76.7","52.8"
"USW00023271","SACRAMENTO 5 ESE, CA US","1993",,"1577","        73","        49",,"         0","         0","       229","        82","31",,"0.0","2.53","109","2087","25.03","0.0","63.4","74.9","52.0"
"USW00023271","SACRAMENTO 5 ESE, CA US","1994",,"1533","        49","        28",,"         0","         0","       225","        90","32",,"0.0","1.70","105","2080","15.82","0.0","63.0","75.2","50.8"
"USW00023271","SACRAMENTO 5 ESE, CA US","1995",,"1502","        83","        47",,"         0","         0","       230","        72","36",,"0.0","2.83","109","2227","28.98","0.0","64.5","75.7","53.4"
"USW00023271","SACRAMENTO 5 ESE, CA US","1996",,"1867","        77","        46",,,"         0","       226","        96","35",,,"1.83","110","1529","23.94",,"65.3","77.1","53.5"
"USW00023271","SACRAMENTO 5 ESE, CA US","1997",,"1914","        50","        33",,"         0","         0","       243","       101","29",,"0.0","2.13","109","1673","18.40","0.0","65.6","77.6","53.6"
"USW00023271","SACRAMENTO 5 ESE, CA US","1998",,"1462","       102","        61",,"         0","         0","       194","        69","26",,"0.0","1.62","111","2000","28.91","0.0","62.8","73.6","52.1"
"USW00023271","SACRAMENTO 5 ESE, CA US","1999",,"1339","        55","        25",,"         0","         0","       209","        83","31",,"0.0","1.21","108","2523","11.83","0.0","62.1","75.0","49.2"
"USW00023271","SACRAMENTO 5 ESE, CA US","2000",,"1516","        67","        49",,,"         0","       217","        91","31",,,"3.11","107","1993","25.91",,"63.0","75.5","50.6"
"USW00023271","SACRAMENTO 5 ESE, CA US","2001",,"1736","        60","        43",,,"         0","       231","        98","29",,,"1.51","106","2373","22.28",,"64.0","76.9","51.2"
"USW00023271","SACRAMENTO 5 ESE, CA US","2002",,"1656","        50","        30",,,"         0","       224","       104","29",,,"1.40","112","2147","15.94",,"63.5","76.8","50.1"
"USW00023271","SACRAMENTO 5 ESE, CA US","2003",,"1767","        66","        42",,"         0","         0","       199","        94","31",,"0.0","1.18","106","2080","14.75","0.0","63.9","76.0","51.8"
"USW00023271","SACRAMENTO 5 ESE, CA US","2004",,"1674","        58","        32",,,"         0","       215","        89","31",,,"1.93","106","1948","19.50",,"63.8","75.9","51.8"
"USW00023271","SACRAMENTO 5 ESE, CA US","2005",,"1511","        75","        49",,"         0","         0","       224","        73","34",,"0.0","2.34","107","2220","23.26","0.0","63.7","75.5","52.0"
"USW00023271","SACRAMENTO 5 ESE, CA US","2006",,"1582","        75","        50",,,"         0","       207","        83","31",,,"0.98","111","2112","19.37",,"63.0","74.7","51.3"
"USW00023271","SACRAMENTO 5 ESE, CA US","2007",,"1439","        43","        31",,,"         0","       227","        73","26",,,"1.44","108","2087","12.96",,"63.0","75.6","50.5"
"USW00023271","SACRAMENTO 5 ESE, CA US","2008",,"1533","        51","        29",,"         0","         0","       220","        88","31",,"0.0","2.23","107","2299","14.15","0.0","62.9","75.4","50.5"
"USW00023271","SACRAMENTO 5 ESE, CA US","2009",,"1502","        59","        34",,"         0","         0","       211","        81","27",,"0.0","3.04","108","2218","18.89","0.0","62.7","75.0","50.4"
"USW00023271","SACRAMENTO 5 ESE, CA US","2010",,"1228","        81","        51",,"         0","         0","       200","        66","30",,"0.0","1.21","108","2425","22.39","0.0","62.0","73.1","50.8"
"USW00023271","SACRAMENTO 5 ESE, CA US","2011",,"1314","        61","        34",,"         0","         0","       193","        72","29",,"0.0","1.15","102","2491","17.53","0.0","61.5","73.4","49.6"
"USW00023271","SACRAMENTO 5 ESE, CA US","2012",,"1621","        61","        40",,"         0","         0","       208","       104","28",,"0.0","1.79","107","2299","22.67","0.0","63.5","76.3","50.7"
"USW00023271","SACRAMENTO 5 ESE, CA US","2013",,"1573","        26","        19",,,"         0","       244","        85","25",,,"0.68","110","1995","6.13",,"63.6","77.3","50.0"
"USW00023271","SACRAMENTO 5 ESE, CA US","2014",,"1870","        55","        33",,,"         0","       246","       105","34",,,"2.10","107","1768","18.45",,"65.8","78.5","53.1"
"USW00023271","SACRAMENTO 5 ESE, CA US","2015",,"1838","        35","        19",,,"         0","       242","        97","30",,,"1.07","108","1504","8.17",,"65.1","77.8","52.3"
"USW00023271","SACRAMENTO 5 ESE, CA US","2016",,"1666","        73","        47",,,"         0","       244","        99","31",,,"2.28","108","1870","22.88",,"64.6","77.0","52.1"
"USW00023271","SACRAMENTO 5 ESE, CA US","2017",,"1855","        65","        50",,,"         0","       219","       101","32",,,"2.16","109","2047","27.15",,"64.6","76.7","52.6"
"USW00023271","SACRAMENTO 5 ESE, CA US","2018",,"1606","        49","        34","        0","         0","         0","       230","        90","31","0","0.0","2.38","109","2002","19.01","0.0","63.9","76.9","51.0"
"USW00023271","SACRAMENTO 5 ESE, CA US","2019",,"1701","        78","        45",,,"         0","       225","        93","32",,,"2.52","107","1980","26.31",,"64.1","76.2","52.0"
"USW00023271","SACRAMENTO 5 ESE, CA US","2020",,"2147","        41","        17",,"         0","         0","       235","       125","33",,"0.0","1.21","112","1871","7.89","0.0","65.5","78.8","52.2"
"USW00023206","SACRAMENTO MATHER AFB, CA US","1970",,"1491","        74","        50","        0","         0","         0","       208","        93","28","0","0.0","2.61","107","2155","25.82","0.0","62.7","74.9","50.4"
"USC00041773","CITRUS HEIGHTS, CA US","1970",,,"        76","        50","        0","         0",,,,,"0","0.0","2.07",,,"28.00","0.0",,,
"USC00041773","CITRUS HEIGHTS, CA US","1971",,,"        68","        34","        0","         0",,,,,"0","0.0","1.35",,,"15.16","0.0",,,
"USC00041773","CITRUS HEIGHTS, CA US","1972",,,"        75","        37","        0","         0",,,,,"0","0.5","1.57",,,"17.80","0.6",,,
"USC00041773","CITRUS HEIGHTS, CA US","1973",,,"        90","        62","        0","         0",,,,,"0","0.0","1.74",,,"36.85","0.0",,,
"USC00041773","CITRUS HEIGHTS, CA US","1974",,,"        65","        45","        0","         0",,,,,"0","0.0","1.39",,,"20.17","0.0",,,
"USC00041773","CITRUS HEIGHTS, CA US","1975",,,,,"        0","         0",,,,,"0","0.0",,,,,"0.0",,,
"USC00041784","CLARKSBURG, CA US","1970",,"882",,,"        0","         0","         0","       206","        65","26","0","0.0",,"104","2704",,"0.0","59.7","73.1","46.4"
"USC00041784","CLARKSBURG, CA US","1971",,"789","        45","        25","        0","         0","         0","       178","        64","22","0","0.0","0.73","107","3193","10.05","0.0","57.1","71.0","43.1"
"USC00041784","CLARKSBURG, CA US","1972",,"879","        57","        33","        0","         1","         0","       202","        48","22","0","1.0","1.06","112","3260","15.68","1.5","58.7","71.0","46.5"
"USC00041784","CLARKSBURG, CA US","1973",,,,,,,,,,,,,,,,,,,,
"USC00041784","CLARKSBURG, CA US","1974",,,,,,,,,,,,,,,,,,,,
"USW00023208","SACRAMENTO MCCLELLAN AFB, CA US","1970",,"1560","        66","        45","        0","         0","         0","       205","        98","26","0","0.0","2.20","108","2395","21.19","0.0","62.7","75.0","50.4"
"US1CAPC0021","ROSEVILLE 2.4 SE, CA US","2013",,,"        30","        19",,,,,,,,,"1.12",,,"7.20",,,,
"US1CAPC0021","ROSEVILLE 2.4 SE, CA US","2014",,,"        59","        36",,,,,,,,,"3.51",,,"25.10",,,,
"US1CAPC0021","ROSEVILLE 2.4 SE, CA US","2015",,,"        34","        20",,,,,,,,,"2.33",,,"12.40",,,,
"US1CAPC0021","ROSEVILLE 2.4 SE, CA US","2016",,,"        69","        50",,,,,,,,,"1.82",,,"26.52",,,,
"US1CAPC0021","ROSEVILLE 2.4 SE, CA US","2018",,,"        53","        42",,,,,,,,,"3.05",,,"25.14",,,,
"US1CASA0015","SACRAMENTO 4.1 NE, CA US","2009",,,"        59","        38",,,,,,,,,"2.26",,,"19.39",,,,
"US1CASA0015","SACRAMENTO 4.1 NE, CA US","2010",,,"        85","        50",,,,,,,,,"1.45",,,"24.69",,,,
"US1CASA0015","SACRAMENTO 4.1 NE, CA US","2011",,,"        58","        39",,,,,,,,,"1.15",,,"18.08",,,,
"US1CASA0015","SACRAMENTO 4.1 NE, CA US","2012",,,"        58","        40",,,,,,,,,"1.60",,,"25.19",,,,
"US1CASA0039","FAIR OAKS 1.9 N, CA US","2014",,,"        60","        41",,,,,,,,,"3.38",,,"28.34",,,,
"US1CASA0039","FAIR OAKS 1.9 N, CA US","2015",,,"        41","        22",,,,,,,,,"1.45",,,"10.99",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1999",,,"        65","        27",,,,,,,,,"1.66",,,"11.58",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2000","7.6","1158","        91","        39",,,"         0","       202","        78","26",,,"2.04","107",,"20.26",,"60.7","73.5","47.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2001","8.3","1397","        79","        49",,,"         0","       221","        90","28",,,"1.17","107","2857","21.56",,"62.0","75.3","48.7"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2002","7.8","1207","        71","        30",,,"         0","       211","        86","26",,,"2.10","109","2596","17.52",,"60.7","74.6","46.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2003","7.6","1430","       101","        43",,,"         0","       190","        89","27",,,"1.29","105","2683","17.64",,"61.5","74.3","48.7"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2004","8.1","1302","        88","        36",,,"         0","       210","        83","26",,,"2.52","104","2354","18.86",,"61.6","74.3","48.9"
